,lat,lon,,
834,2.356020927,21.25,,
835,2.356020927,32.5,,
836,2.356020927,33.75,,
837,2.356020927,283.75,,
838,2.356020927,282.5,,
839,2.356020927,285,,
840,2.356020927,111.25,,
841,2.356020927,11.25,,
842,2.356020927,102.5,,
843,2.356020927,103.75,,
844,2.356020927,101.25,,
845,2.356020927,100,,
846,2.356020927,45,,
847,2.356020927,98.75,,
848,2.356020927,97.5,,
849,3.298429251,298.75,,
850,3.298429251,117.5,,
851,3.298429251,22.5,,
852,3.298429251,20,,
853,3.298429251,31.25,,
854,3.298429251,32.5,,
855,3.298429251,283.75,,
856,3.298429251,285,,
857,3.298429251,112.5,,
858,3.298429251,11.25,,
859,3.298429251,102.5,,
860,3.298429251,103.75,,
861,3.298429251,101.25,,
862,3.298429251,100,,
863,3.298429251,98.75,,
864,3.298429251,97.5,,
865,3.298429251,96.25,,
866,4.240837574,286.25,,
867,4.240837574,117.5,,
868,4.240837574,18.75,,
869,4.240837574,31.25,,
870,4.240837574,13.75,,
871,4.240837574,283.75,,
872,4.240837574,282.5,,
873,4.240837574,285,,
874,4.240837574,118.75,,
875,4.240837574,113.75,,
876,4.240837574,11.25,,
877,4.240837574,103.75,,
878,4.240837574,101.25,,
879,4.240837574,8.75,,
880,4.240837574,10,,
881,4.240837574,98.75,,
882,4.240837574,97.5,,
883,4.240837574,96.25,,
884,4.240837574,6.25,,
885,4.240837574,7.5,,
886,4.240837574,352.5,,
887,5.183246136,287.5,,
888,5.183246136,286.25,,
889,5.183246136,115,,
890,5.183246136,116.25,,
891,5.183246136,307.5,,
892,5.183246136,31.25,,
893,5.183246136,283.75,,
894,5.183246136,285,,
895,5.183246136,118.75,,
896,5.183246136,120,,
897,5.183246136,11.25,,
898,5.183246136,102.5,,
899,5.183246136,101.25,,
900,5.183246136,8.75,,
901,5.183246136,10,,
902,5.183246136,97.5,,
903,5.183246136,96.25,,
904,5.183246136,6.25,,
905,5.183246136,7.5,,
906,5.183246136,0,,
907,5.183246136,5,,
908,5.183246136,95,,
909,5.183246136,353.75,,
910,5.183246136,355,,
911,5.183246136,356.25,,
912,5.183246136,357.5,,
913,5.183246136,358.75,,
914,6.125654221,292.5,,
915,6.125654221,287.5,,
916,6.125654221,286.25,,
917,6.125654221,301.25,,
918,6.125654221,302.5,,
919,6.125654221,117.5,,
920,6.125654221,305,,
921,6.125654221,116.25,,
922,6.125654221,38.75,,
923,6.125654221,283.75,,
924,6.125654221,285,,
925,6.125654221,118.75,,
926,6.125654221,125,,
927,6.125654221,37.5,,
928,6.125654221,11.25,,
929,6.125654221,102.5,,
930,6.125654221,101.25,,
931,6.125654221,8.75,,
932,6.125654221,100,,
933,6.125654221,10,,
934,6.125654221,6.25,,
935,6.125654221,7.5,,
936,6.125654221,352.5,,
937,6.125654221,0,,
938,6.125654221,5,,
939,6.125654221,353.75,,
940,6.125654221,355,,
941,6.125654221,356.25,,
942,6.125654221,357.5,,
943,6.125654221,358.75,,
944,6.125654221,1.25,,
945,6.125654221,2.5,,
946,6.125654221,3.75,,
947,6.125654221,80,,
948,6.125654221,81.25,,
949,6.125654221,348.75,,
950,6.125654221,350,,
951,7.068062782,288.75,,
952,7.068062782,287.5,,
953,7.068062782,286.25,,
954,7.068062782,301.25,,
955,7.068062782,302.5,,
956,7.068062782,116.25,,
957,7.068062782,36.25,,
958,7.068062782,38.75,,
959,7.068062782,40,,
960,7.068062782,41.25,,
961,7.068062782,283.75,,
962,7.068062782,285,,
963,7.068062782,123.75,,
964,7.068062782,125,,
965,7.068062782,126.25,,
966,7.068062782,37.5,,
967,7.068062782,101.25,,
968,7.068062782,8.75,,
969,7.068062782,100,,
970,7.068062782,10,,
971,7.068062782,6.25,,
972,7.068062782,7.5,,
973,7.068062782,352.5,,
974,7.068062782,0,,
975,7.068062782,5,,
976,7.068062782,353.75,,
